poiID,poiLat,poiLon,poiCat,fsqID
1,40.756489872673846,-73.98626804351807,Plaza,49b7ed6df964a52030531fe3
2,40.82827721161922,-73.92655344439045,Stadium,3fd66200f964a520ddf01ee3
3,40.73528249691621,-73.99040315158283,Park,3fd66200f964a520def11ee3
4,40.78782018739577,-73.79104614257812,Other_Great_Outdoors,508af9ccf13627e878935855
5,40.75372797263211,-73.98368835767094,Park,3fd66200f964a520d7f11ee3
6,40.75061379403183,-73.98856401443481,Department_Store,41102700f964a520d60b1fe3
7,40.7569743825982,-73.98877355904663,Movie_Theater,40afe980f964a5203bf31ee3
8,40.75044987008408,-73.99221103886612,Stadium,4ae6363ef964a520aba521e3
9,40.74218830848454,-73.98792418909154,Park,40b68100f964a5207d001fe3
10,40.77486674679395,-73.98179484046595,Movie_Theater,49e17f24f964a520d1611fe3
11,40.74706188749892,-74.00519371032715,Park,40f1d480f964a5206a0a1fe3
12,40.73083612189599,-73.99764060974121,Park,40abf500f964a52035f31ee3
13,40.76117085825042,-74.01128768920898,Road,4a4821f5f964a52095aa1fe3
14,40.705953265881305,-73.99656772613525,Bridge,4a43bcb7f964a520bba61fe3
15,40.76391920774746,-73.9731399591735,Electronics_Store,447bf8f1f964a520ec331fe3
16,40.7714256153356,-73.97350072860723,Park,412d2800f964a520df0c1fe3
17,40.75645736467708,-73.8460636138916,Stadium,49d60947f964a520a85c1fe3
18,40.758728399405584,-73.97855791454388,Plaza,49b79f54f964a5202c531fe3
19,40.76232480057456,-73.9678144454956,Department_Store,4531059cf964a520683b1fe3
20,40.76803326982161,-73.98186922073364,Plaza,49c64842f964a5202e571fe3
21,40.85121557428245,-73.95206451416016,Bridge,4a33eb53f964a5206a9b1fe3
22,40.778936659294864,-73.96229820007625,Art_Museum,427c0500f964a52097211fe3
23,40.74276195733468,-73.97692322731018,Movie_Theater,453cacc7f964a520153c1fe3
24,40.917335441802095,-74.0756607055664,Mall,4a07ac6af964a5208f731fe3
25,40.742016043363805,-74.00516336676101,Food_&_Drink_Shop,41390580f964a520dc1a1fe3
26,40.68312,-73.975979,Stadium,4b992b04f964a520726635e3
27,40.75239971617386,-73.99415090184415,Movie_Theater,45b893e3f964a520cf411fe3
28,40.77552917709761,-73.97142385887315,Moving_Target,4fbfe16ae4b05190680fe0b1
29,40.745180776401206,-73.97943602217596,Other_Great_Outdoors,4ff4271ae4b0b8fda8c37cc8
30,40.73169799836348,-73.98922693741638,Music_Venue,3fd66200f964a52035e41ee3
31,40.73939794092962,-73.99320973426613,General_Entertainment,4db44994cda1c57c82583709
32,40.713565479798646,-73.97236347198486,Bridge,49ecd458f964a52099671fe3
33,40.759220487652186,-73.98880004882812,Mexican_Restaurant,4fa4a231e4b09571de93b9a7
34,40.75671096305903,-74.00100198012031,Convention_Center,4283ee00f964a5209d221fe3
35,40.705888200473375,-73.9900016784668,Bridge,4a32c3f9f964a5208c9a1fe3
36,40.57334843776636,-73.98030281066895,Beach,49e4a769f964a52015631fe3
37,40.8134844303353,-74.07433032989502,Stadium,4bd44b84a8b3a5937e7f6b5f
38,40.74490101607357,-73.99805899339255,Movie_Theater,4a4138ebf964a520f9a41fe3
