photoID,userID,dateTaken,poiID,poiTheme,poiFreq,seqID
6656416589,10297518@N00,1277722924,20,Entertainment,514,1
6656418463,10297518@N00,1277722944,20,Entertainment,514,1
6656420371,10297518@N00,1277723141,20,Entertainment,514,1
6656421479,10297518@N00,1277723158,20,Entertainment,514,1
6656422763,10297518@N00,1277723173,20,Entertainment,514,1
6656425271,10297518@N00,1277724432,20,Entertainment,514,1
10457209566,10307040@N08,1382614961,21,Entertainment,297,2
10457230705,10307040@N08,1382614974,21,Entertainment,297,2
10457212254,10307040@N08,1382615012,8,Park,1307,2
10457234086,10307040@N08,1382615079,22,Entertainment,414,2
10457424463,10307040@N08,1382615095,22,Entertainment,414,2
10457557503,10307040@N08,1382615746,22,Entertainment,414,2
10457393115,10307040@N08,1382615758,22,Entertainment,414,2
10457373574,10307040@N08,1382615775,22,Entertainment,414,2
10457379946,10307040@N08,1382615788,22,Entertainment,414,2
10457568033,10307040@N08,1382615799,22,Entertainment,414,2
10457571273,10307040@N08,1382615816,22,Entertainment,414,2
10457388106,10307040@N08,1382615828,22,Entertainment,414,2
10457387674,10307040@N08,1382615844,6,Amusement,660,2
8655431797,10340578@N06,1364293448,21,Entertainment,297,3
8655431519,10340578@N06,1364293455,21,Entertainment,297,3
8655431217,10340578@N06,1364293477,21,Entertainment,297,3
8655430899,10340578@N06,1364293481,21,Entertainment,297,3
8656533992,10340578@N06,1364293972,21,Entertainment,297,3
8655429225,10340578@N06,1364294022,21,Entertainment,297,3
8655429017,10340578@N06,1364294276,21,Entertainment,297,3
8655428709,10340578@N06,1364294431,21,Entertainment,297,3
8655428413,10340578@N06,1364296281,22,Entertainment,414,3
8656532618,10340578@N06,1364296291,22,Entertainment,414,3
8656532274,10340578@N06,1364296318,3,Amusement,599,3
8656444951,10340578@N06,1364438916,2,Amusement,253,4
8657550102,10340578@N06,1364438941,2,Amusement,253,4
8656444509,10340578@N06,1364439029,2,Amusement,253,4
8657549720,10340578@N06,1364439038,2,Amusement,253,4
8656444107,10340578@N06,1364439123,2,Amusement,253,4
8657549354,10340578@N06,1364439134,2,Amusement,253,4
8657549120,10340578@N06,1364439296,1,Amusement,886,4
8656443027,10340578@N06,1364454407,8,Park,1307,4
8657548132,10340578@N06,1364454477,8,Park,1307,4
8656442641,10340578@N06,1364454492,8,Park,1307,4
8657547800,10340578@N06,1364454519,8,Park,1307,4
8657547634,10340578@N06,1364454534,8,Park,1307,4
8656442117,10340578@N06,1364454993,8,Park,1307,4
8657547320,10340578@N06,1364455057,8,Park,1307,4
8656424273,10340578@N06,1364455065,8,Park,1307,4
8657547150,10340578@N06,1364455500,8,Park,1307,4
8657546994,10340578@N06,1364455533,8,Park,1307,4
5594442060,10422365@N03,1302063964,24,Entertainment,126,5
5605262602,10422365@N03,1302410413,8,Park,1307,6
8085075023,10422365@N03,1350190975,7,Park,197,7
8085080538,10422365@N03,1350191213,7,Park,197,7
8091888943,11354044@N05,1337812953,22,Entertainment,414,8
8091895016,11354044@N05,1337812985,22,Entertainment,414,8
8091889707,11354044@N05,1337816001,22,Entertainment,414,8
8091896034,11354044@N05,1337823289,15,Historical,229,8
8091890841,11354044@N05,1337828401,12,Park,36,8
8091896818,11354044@N05,1337829251,12,Park,36,8
8091891501,11354044@N05,1337829688,12,Park,36,8
8091897536,11354044@N05,1337846692,2,Amusement,253,8
8091899804,11354044@N05,1337938198,23,Entertainment,51,9
13032566594,115391424@N05,1394345177,12,Park,36,10
13032339143,115391424@N05,1394345228,12,Park,36,10
13032344183,115391424@N05,1394345335,12,Park,36,10
13032566884,115391424@N05,1394345420,12,Park,36,10
13032344743,115391424@N05,1394345500,12,Park,36,10
13032567314,115391424@N05,1394345583,12,Park,36,10
13032202605,115391424@N05,1394345729,12,Park,36,10
13032567724,115391424@N05,1394345762,12,Park,36,10
13032560514,115391424@N05,1394346638,12,Park,36,10
13502347425,115391424@N05,1395545820,2,Amusement,253,11
13502348985,115391424@N05,1395545941,2,Amusement,253,11
13502692624,115391424@N05,1395546070,2,Amusement,253,11
13502445423,115391424@N05,1395546074,2,Amusement,253,11
13502693184,115391424@N05,1395546075,2,Amusement,253,11
13502349575,115391424@N05,1395546224,1,Amusement,886,11
13502349605,115391424@N05,1395546227,1,Amusement,886,11
13502693544,115391424@N05,1395546228,1,Amusement,886,11
13502349855,115391424@N05,1395546229,1,Amusement,886,11
13502690714,115391424@N05,1395546231,1,Amusement,886,11
13502350115,115391424@N05,1395546262,1,Amusement,886,11
13502446293,115391424@N05,1395546296,1,Amusement,886,11
13502694284,115391424@N05,1395546461,2,Amusement,253,11
13502442473,115391424@N05,1395546573,1,Amusement,886,11
13502694334,115391424@N05,1395546668,1,Amusement,886,11
13502694464,115391424@N05,1395546732,1,Amusement,886,11
13502446943,115391424@N05,1395546754,1,Amusement,886,11
13502447023,115391424@N05,1395546808,1,Amusement,886,11
13502694754,115391424@N05,1395546827,1,Amusement,886,11
13502694864,115391424@N05,1395546828,1,Amusement,886,11
13502695014,115391424@N05,1395546889,1,Amusement,886,11
13502695204,115391424@N05,1395546910,1,Amusement,886,11
13502447593,115391424@N05,1395546961,1,Amusement,886,11
13502351695,115391424@N05,1395546963,1,Amusement,886,11
13502447753,115391424@N05,1395546984,1,Amusement,886,11
13502346675,115391424@N05,1395547056,2,Amusement,253,11
13502352055,115391424@N05,1395547241,2,Amusement,253,11
13502692324,115391424@N05,1395547284,2,Amusement,253,11
13502348575,115391424@N05,1395547288,2,Amusement,253,11
13502692114,115391424@N05,1395547290,2,Amusement,253,11
13502348275,115391424@N05,1395547301,2,Amusement,253,11
13502691704,115391424@N05,1395547322,2,Amusement,253,11
13502691194,115391424@N05,1395547347,2,Amusement,253,11
13502443653,115391424@N05,1395547490,2,Amusement,253,11
13502347505,115391424@N05,1395547723,2,Amusement,253,11
13502443443,115391424@N05,1395547953,2,Amusement,253,11
13502347265,115391424@N05,1395548053,2,Amusement,253,11
13502347005,115391424@N05,1395548183,2,Amusement,253,11
13502689614,115391424@N05,1395548262,2,Amusement,253,11
14048515733,115391424@N05,1398556765,1,Amusement,886,12
14048516233,115391424@N05,1398556985,1,Amusement,886,12
14025316051,115391424@N05,1398557255,1,Amusement,886,12
14005389106,115391424@N05,1398557262,2,Amusement,253,12
14005389196,115391424@N05,1398557397,2,Amusement,253,12
14048516713,115391424@N05,1398557756,2,Amusement,253,12
14048516813,115391424@N05,1398558349,2,Amusement,253,12
14048516903,115391424@N05,1398558564,2,Amusement,253,12
14025316831,115391424@N05,1398558627,2,Amusement,253,12
14025298552,115391424@N05,1398559140,2,Amusement,253,12
14028949154,115391424@N05,1398559230,2,Amusement,253,12
14028949094,115391424@N05,1398559283,2,Amusement,253,12
14005390046,115391424@N05,1398559309,2,Amusement,253,12
14025317091,115391424@N05,1398559392,1,Amusement,886,12
14025317201,115391424@N05,1398559407,1,Amusement,886,12
14025317411,115391424@N05,1398559463,1,Amusement,886,12
14048517573,115391424@N05,1398559519,1,Amusement,886,12
14025299142,115391424@N05,1398559570,1,Amusement,886,12
14025317571,115391424@N05,1398559591,1,Amusement,886,12
14025317661,115391424@N05,1398559659,1,Amusement,886,12
14028949864,115391424@N05,1398559670,1,Amusement,886,12
14025317871,115391424@N05,1398559699,2,Amusement,253,12
14028950064,115391424@N05,1398559709,2,Amusement,253,12
14025318021,115391424@N05,1398559780,2,Amusement,253,12
14028506465,115391424@N05,1398559833,1,Amusement,886,12
14025318271,115391424@N05,1398559914,2,Amusement,253,12
14025300092,115391424@N05,1398559931,2,Amusement,253,12
14028506065,115391424@N05,1398559936,2,Amusement,253,12
14028950294,115391424@N05,1398559944,2,Amusement,253,12
14048518563,115391424@N05,1398559956,2,Amusement,253,12
14028509735,115391424@N05,1398559961,2,Amusement,253,12
14048518733,115391424@N05,1398559974,2,Amusement,253,12
14028509935,115391424@N05,1398559987,2,Amusement,253,12
14025300852,115391424@N05,1398560003,2,Amusement,253,12
14025319141,115391424@N05,1398560008,2,Amusement,253,12
14028951124,115391424@N05,1398560021,2,Amusement,253,12
14028510405,115391424@N05,1398560061,2,Amusement,253,12
14028951484,115391424@N05,1398560110,2,Amusement,253,12
14048519703,115391424@N05,1398560155,2,Amusement,253,12
14048519823,115391424@N05,1398560164,2,Amusement,253,12
14028510845,115391424@N05,1398560198,2,Amusement,253,12
14005392616,115391424@N05,1398560304,2,Amusement,253,12
14028951734,115391424@N05,1398560404,2,Amusement,253,12
14005392806,115391424@N05,1398560584,2,Amusement,253,12
14028952084,115391424@N05,1398560595,2,Amusement,253,12
14005392906,115391424@N05,1398560601,2,Amusement,253,12
14028952134,115391424@N05,1398560693,2,Amusement,253,12
14025302082,115391424@N05,1398560796,2,Amusement,253,12
14005393136,115391424@N05,1398560800,2,Amusement,253,12
14005389606,115391424@N05,1398560862,2,Amusement,253,12
14025298072,115391424@N05,1398560877,2,Amusement,253,12
14048516473,115391424@N05,1398560933,2,Amusement,253,12
14048516393,115391424@N05,1398561030,2,Amusement,253,12
14028507335,115391424@N05,1398561035,2,Amusement,253,12
14048514763,115391424@N05,1398561037,2,Amusement,253,12
14025297182,115391424@N05,1398561220,2,Amusement,253,12
14048515493,115391424@N05,1398561232,2,Amusement,253,12
14025315061,115391424@N05,1398561248,2,Amusement,253,12
14025295972,115391424@N05,1398561313,2,Amusement,253,12
6001311842,12002368@N08,1312271626,22,Entertainment,414,13
7786243824,12002368@N08,1345006932,8,Park,1307,14
6400264557,12173213@N00,1322210239,5,Amusement,315,15
6465469147,12173213@N00,1323162323,5,Amusement,315,16
6465469759,12173213@N00,1323162362,5,Amusement,315,16
6465470415,12173213@N00,1323162377,5,Amusement,315,16
6465471019,12173213@N00,1323162400,5,Amusement,315,16
6465471771,12173213@N00,1323162412,5,Amusement,315,16
13895724825,123434952@N02,1384405560,20,Entertainment,514,17
13895719665,123434952@N02,1384411482,8,Park,1307,17
13895717655,123434952@N02,1384411575,8,Park,1307,17
